nama_kos,lokasi,harga,Tempat Tidur,Lemari Pakaian,Meja,Kamar Mandi Dalam,AC,WiFi,Dapur,Area Parkir,Laundry Area
Kost Rumah Deka Tipe A,Pondok Aren,Rp514.600,Ada,Tidak,Tidak,Tidak,Tidak,Ada,Tidak,Tidak,Tidak
Kost Perkici IV STAN Tipe A Bintaro,Pondok Aren,Rp1.200.000,Ada,Tidak,Tidak,Tidak,Ada,Ada,Tidak,Tidak,Tidak
Kost Bokis 1 Bintaro Tipe A,Pondok Aren,Rp535.300,Ada,Tidak,Tidak,Tidak,Tidak,Ada,Tidak,Tidak,Tidak
Kost Al Karim STAN Tipe A,Pondok Aren,Rp1.215.700,Ada,Tidak,Tidak,Ada,Ada,Ada,Tidak,Tidak,Tidak
Kost Al Karim STAN Tipe B,Pondok Aren,Rp735.500,Ada,Tidak,Tidak,Ada,Tidak,Ada,Tidak,Tidak,Tidak
Kost STAN Bintaro Andalusia Tipe A,Kecamatan Pondok Aren,Rp1.425.000,Ada,Tidak,Tidak,Ada,Ada,Ada,Tidak,Tidak,Tidak
Kost Bunda Femmy Tipe A,Ciputat Timur,Rp1.140.000,Ada,Tidak,Tidak,Ada,Ada,Ada,Tidak,Tidak,Tidak
Kost STAN Bintaro Andalusia Tipe C,Pondok Aren,Rp1.103.000,Ada,Tidak,Tidak,Ada,Tidak,Ada,Tidak,Tidak,Tidak
Kost Putri Mawar PJMI Tipe C Bintaro,Pondok Aren,Rp1.125.000,Ada,Tidak,Tidak,Ada,Ada,Ada,Tidak,Tidak,Tidak
Kost Mandar IV Bintaro Tipe A,Pondok Aren,Rp1.985.000,Ada,Tidak,Tidak,Ada,Ada,Ada,Tidak,Tidak,Tidak
Kost Griya Tentrem Bintaro Tipe B,Pondok Aren,Rp858.000,Ada,Tidak,Tidak,Tidak,Tidak,Ada,Tidak,Tidak,Tidak
Kost STAN Bintaro Andalusia Tipe B,Kecamatan Pondok Aren,Rp1.495.000,Ada,Tidak,Tidak,Ada,Ada,Ada,Tidak,Tidak,Tidak
Kost Al Karim STAN Tipe C,Pondok Aren,Rp862.900,Ada,Tidak,Tidak,Tidak,Ada,Ada,Tidak,Tidak,Tidak
Kost Ravanti Tipe A,Kecamatan Ciputat Timur,Rp1.402.500,Ada,Tidak,Tidak,Ada,Ada,Ada,Tidak,Tidak,Tidak
Kost Putri Mawar PJMI Tipe B Bintaro,Kecamatan Pondok Aren,Rp1.375.000,Ada,Tidak,Tidak,Ada,Ada,Ada,Tidak,Tidak,Tidak
Kost Hitz Tipe F2,Kecamatan Pondok Aren,Rp1.620.000,Ada,Tidak,Tidak,Ada,Ada,Ada,Tidak,Tidak,Tidak
Kost Ravanti Tipe B,Kecamatan Ciputat Timur,Rp1.625.000,Ada,Tidak,Tidak,Ada,Ada,Ada,Tidak,Tidak,Tidak
Kost STAN Tipe A Jurang Mangu,Pondok Aren,Rp1.325.000,Ada,Tidak,Tidak,Ada,Ada,Ada,Tidak,Tidak,Tidak
Kost Sunday Bintaro Executive,Kecamatan Pondok Aren,Rp1.850.000,Ada,Tidak,Tidak,Ada,Ada,Ada,Tidak,Tidak,Tidak
Kost Niaga STAN Tipe C,Pondok Aren,Rp765.000,Ada,Tidak,Tidak,Ada,Tidak,Ada,Tidak,Tidak,Tidak
Kost Rumah Deka Tipe A,Pondok Aren,Rp514.600,Ada,Tidak,Tidak,Tidak,Tidak,Ada,Tidak,Tidak,Tidak
Kost Perkici IV STAN Tipe A Bintaro,Pondok Aren,Rp1.200.000,Ada,Tidak,Tidak,Tidak,Ada,Ada,Tidak,Tidak,Tidak
Kost Bokis 1 Bintaro Tipe A,Pondok Aren,Rp535.300,Ada,Tidak,Tidak,Tidak,Tidak,Ada,Tidak,Tidak,Tidak
Kost Al Karim STAN Tipe A,Pondok Aren,Rp1.215.700,Ada,Tidak,Tidak,Ada,Ada,Ada,Tidak,Tidak,Tidak
Kost Al Karim STAN Tipe B,Pondok Aren,Rp735.500,Ada,Tidak,Tidak,Ada,Tidak,Ada,Tidak,Tidak,Tidak
Kost STAN Bintaro Andalusia Tipe A,Kecamatan Pondok Aren,Rp1.425.000,Ada,Tidak,Tidak,Ada,Ada,Ada,Tidak,Tidak,Tidak
Kost Bunda Femmy Tipe A,Ciputat Timur,Rp1.140.000,Ada,Tidak,Tidak,Ada,Ada,Ada,Tidak,Tidak,Tidak
Kost STAN Bintaro Andalusia Tipe C,Pondok Aren,Rp1.103.000,Ada,Tidak,Tidak,Ada,Tidak,Ada,Tidak,Tidak,Tidak
Kost Putri Mawar PJMI Tipe C Bintaro,Pondok Aren,Rp1.125.000,Ada,Tidak,Tidak,Ada,Ada,Ada,Tidak,Tidak,Tidak
Kost Mandar IV Bintaro Tipe A,Pondok Aren,Rp1.985.000,Ada,Tidak,Tidak,Ada,Ada,Ada,Tidak,Tidak,Tidak
Kost Griya Tentrem Bintaro Tipe B,Pondok Aren,Rp858.000,Ada,Tidak,Tidak,Tidak,Tidak,Ada,Tidak,Tidak,Tidak
Kost STAN Bintaro Andalusia Tipe B,Kecamatan Pondok Aren,Rp1.495.000,Ada,Tidak,Tidak,Ada,Ada,Ada,Tidak,Tidak,Tidak
Kost Al Karim STAN Tipe C,Pondok Aren,Rp862.900,Ada,Tidak,Tidak,Tidak,Ada,Ada,Tidak,Tidak,Tidak
Kost Ravanti Tipe A,Kecamatan Ciputat Timur,Rp1.402.500,Ada,Tidak,Tidak,Ada,Ada,Ada,Tidak,Tidak,Tidak
Kost Putri Mawar PJMI Tipe B Bintaro,Kecamatan Pondok Aren,Rp1.375.000,Ada,Tidak,Tidak,Ada,Ada,Ada,Tidak,Tidak,Tidak
Kost Hitz Tipe F2,Kecamatan Pondok Aren,Rp1.620.000,Ada,Tidak,Tidak,Ada,Ada,Ada,Tidak,Tidak,Tidak
Kost Ravanti Tipe B,Kecamatan Ciputat Timur,Rp1.625.000,Ada,Tidak,Tidak,Ada,Ada,Ada,Tidak,Tidak,Tidak
Kost STAN Tipe A Jurang Mangu,Pondok Aren,Rp1.325.000,Ada,Tidak,Tidak,Ada,Ada,Ada,Tidak,Tidak,Tidak
Kost Sunday Bintaro Executive,Kecamatan Pondok Aren,Rp1.850.000,Ada,Tidak,Tidak,Ada,Ada,Ada,Tidak,Tidak,Tidak
Kost Niaga STAN Tipe C,Pondok Aren,Rp765.000,Ada,Tidak,Tidak,Ada,Tidak,Ada,Tidak,Tidak,Tidak
Kost Rumah Deka Tipe A,Pondok Aren,Rp514.600,Ada,Tidak,Tidak,Tidak,Tidak,Ada,Tidak,Tidak,Tidak
Kost Perkici IV STAN Tipe A Bintaro,Pondok Aren,Rp1.200.000,Ada,Tidak,Tidak,Tidak,Ada,Ada,Tidak,Tidak,Tidak
Kost Bokis 1 Bintaro Tipe A,Pondok Aren,Rp535.300,Ada,Tidak,Tidak,Tidak,Tidak,Ada,Tidak,Tidak,Tidak
Kost Al Karim STAN Tipe A,Pondok Aren,Rp1.215.700,Ada,Tidak,Tidak,Ada,Ada,Ada,Tidak,Tidak,Tidak
Kost Al Karim STAN Tipe B,Pondok Aren,Rp735.500,Ada,Tidak,Tidak,Ada,Tidak,Ada,Tidak,Tidak,Tidak
Kost STAN Bintaro Andalusia Tipe A,Kecamatan Pondok Aren,Rp1.425.000,Ada,Tidak,Tidak,Ada,Ada,Ada,Tidak,Tidak,Tidak
Kost Bunda Femmy Tipe A,Ciputat Timur,Rp1.140.000,Ada,Tidak,Tidak,Ada,Ada,Ada,Tidak,Tidak,Tidak
Kost STAN Bintaro Andalusia Tipe C,Pondok Aren,Rp1.103.000,Ada,Tidak,Tidak,Ada,Tidak,Ada,Tidak,Tidak,Tidak
Kost Putri Mawar PJMI Tipe C Bintaro,Pondok Aren,Rp1.125.000,Ada,Tidak,Tidak,Ada,Ada,Ada,Tidak,Tidak,Tidak
Kost Mandar IV Bintaro Tipe A,Pondok Aren,Rp1.985.000,Ada,Tidak,Tidak,Ada,Ada,Ada,Tidak,Tidak,Tidak
Kost Griya Tentrem Bintaro Tipe B,Pondok Aren,Rp858.000,Ada,Tidak,Tidak,Tidak,Tidak,Ada,Tidak,Tidak,Tidak
Kost STAN Bintaro Andalusia Tipe B,Kecamatan Pondok Aren,Rp1.495.000,Ada,Tidak,Tidak,Ada,Ada,Ada,Tidak,Tidak,Tidak
Kost Al Karim STAN Tipe C,Pondok Aren,Rp862.900,Ada,Tidak,Tidak,Tidak,Ada,Ada,Tidak,Tidak,Tidak
Kost Ravanti Tipe A,Kecamatan Ciputat Timur,Rp1.402.500,Ada,Tidak,Tidak,Ada,Ada,Ada,Tidak,Tidak,Tidak
Kost Putri Mawar PJMI Tipe B Bintaro,Kecamatan Pondok Aren,Rp1.375.000,Ada,Tidak,Tidak,Ada,Ada,Ada,Tidak,Tidak,Tidak
Kost Hitz Tipe F2,Kecamatan Pondok Aren,Rp1.620.000,Ada,Tidak,Tidak,Ada,Ada,Ada,Tidak,Tidak,Tidak
Kost Ravanti Tipe B,Kecamatan Ciputat Timur,Rp1.625.000,Ada,Tidak,Tidak,Ada,Ada,Ada,Tidak,Tidak,Tidak
