nama_kos,lokasi,harga,detail_url,Tempat Tidur,Lemari Pakaian,Meja,Kamar Mandi Dalam,AC,WiFi,Dapur,Area Parkir,Laundry Area
Kost Putri Exclusive Dekat Universitas Brawijaya - Kediaman Iboe,,Rp 12,https://www.rumah123.com/properti/malang-lowokwaru/kost-putri-exclusive-dekat-universitas-brawijaya-kediaman-iboe-ksr241406/,Ada,Ada,Ada,Ada,Ada,Ada,Ada,Ada,Tidak
Kos Binus M House Araya Kota Malang,,Rp 12,https://www.rumah123.com/properti/malang-araya/kos-binus-m-house-araya-kota-malang-ksr240751/,Ada,Tidak,Ada,Tidak,Ada,Ada,Tidak,Tidak,Tidak
"Disewakan Kamar Kos Kozko Citraland, Lokasi Strategis di Depan Universitas Ciputra Citraland, Tinggal Jalan Kaki Saja ke Kampus",,Rp 12,https://www.rumah123.com/properti/surabaya-citraland/disewakan-kamar-kos-kozko-citraland-lokasi-strategis-di-depan-universitas-ciputra-citraland-tinggal-jalan-kaki-saja-ke-ksr163442/,Ada,Ada,Ada,Ada,Ada,Ada,Tidak,Tidak,Tidak
Rumah Kost / Kamar Kost Murah Dekat Pusat Kota Surabaya & Dekat Kebun Binatang Surabaya Royal Plasa,,Rp 12,https://www.rumah123.com/properti/surabaya-wonokromo/rumah-kost-kamar-kost-murah-dekat-pusat-kota-surabaya-dekat-kebun-binatang-surabaya-royal-plasa-ksr55953/,Ada,Ada,Ada,Tidak,Ada,Tidak,Tidak,Ada,Tidak
Kost Murah Dekat Wijaya Kusuma Dukuh Kupang Barat,,Rp 12,https://www.rumah123.com/properti/surabaya-dukuh-kupang/kost-murah-dekat-wijaya-kusuma-dukuh-kupang-barat-ksr1584/,Tidak,Tidak,Tidak,Tidak,Ada,Tidak,Tidak,Tidak,Tidak
Rumah Kost Siap Huni Bersih Dan Terawat Di Gedangan,,Rp 12,https://www.rumah123.com/properti/sidoarjo-gedangan/rumah-kost-siap-huni-bersih-dan-terawat-di-gedangan-ksr167148/,Tidak,Tidak,Tidak,Tidak,Ada,Tidak,Tidak,Tidak,Tidak
"Kost Mashita Sutorejo Utara di Mulyorejo, Mulyorejo, Kota Surabaya, Jawa Timur 60115, Surabaya",,Rp 12,https://www.rumah123.com/properti/surabaya-mulyorejo/kost-mashita-sutorejo-utara-di-mulyorejo-mulyorejo-kota-surabaya-jawa-timur-60115-surabaya-ksr21423/,Tidak,Tidak,Tidak,Tidak,Ada,Tidak,Tidak,Tidak,Tidak
Kos Kawasan Umm Malang,,Rp 12,https://www.rumah123.com/properti/malang-lowokwaru/kos-kawasan-umm-malang-ksr245122/,Ada,Ada,Ada,Ada,Ada,Ada,Tidak,Tidak,Tidak
Kos Kosan Nyaman Aman Di Tengah Kota Samping Lipo,,Rp 12,https://www.rumah123.com/properti/sidoarjo-sidoarjo/kos-kosan-nyaman-aman-di-tengah-kota-samping-lipo-ksr187945/,Ada,Ada,Ada,Tidak,Ada,Ada,Tidak,Ada,Tidak
Disewakan Kost Siap Huni di Prada Lontar Surabaya,,Rp 12,https://www.rumah123.com/properti/surabaya-surabaya-kota/disewakan-kost-siap-huni-di-prada-lontar-surabaya-ksr208790/,Ada,Ada,Ada,Tidak,Ada,Ada,Tidak,Ada,Tidak
KOST MEWAH,,Rp 12,https://www.rumah123.com/properti/malang-lowokwaru/kost-mewah-ksr142375/,Ada,Ada,Ada,Tidak,Ada,Ada,Ada,Tidak,Tidak
Kos Putra Wonokromo Surabaya Dekat Kodam Pasar Sekolah Rs Mall,,Rp 12,https://www.rumah123.com/properti/surabaya-wonokromo/kos-putra-wonokromo-surabaya-dekat-kodam-pasar-sekolah-rs-mall-ksr239635/,Ada,Ada,Ada,Tidak,Ada,Ada,Ada,Ada,Tidak
Pelajari,,Rp 12,https://adclick.g.doubleclick.net/pcs/click?xai=AKAOjssgwmkSv12KHy_fhBZ0NJkTZJBUxshw9QHpsUrPyxjxIDE0g8et2AfpnHwXm9NB09n446sk10rpBRuIX9SOZfXzU7v7xZb8x5GUvid9-X4ViuRAKFH_Aet6IpxEmuQLGqXdruChgtowjPQpyER0F-FkRuZ2HaQmrkedyCNho6fCv_WgrChi22FZ1VevEELgPbIoaFlG8CiJabD0YcZyT7GR3rtr-RUGgkOCZmlvEbcvxRRUa6xHR8p-_W2drfAUKnLxygmvBFBcODD6ohHbeG7Eyrlz7XTiUSdFcs_sgNaqBP67i6uhxsqRQMnfJVmXRBsTiqC3krVkBYOgDPLYq5qf-MW7ACrdL7w_T1nxvRGhQ36dhBBvzJNEhroX9FDt1r4qeq61QQ3D7EhhJQczesRAv5nEwA&sai=AMfl-YQw1dqfXL8x3CgzRp5Fd0NeFtKo2z4cscDvNg8DRQZ8fNLi7606GNWwoURoBpALKUf7YCVjnnQq6m4hnsn6fl6Ron2UPQES1uqHY6Gi_QCHTAH9sHO9abxfvSGc6prcqhHpU8sgX6FMcp53HLJuPwdN5gyMjxA0FBCCevWGQCT8qVQODkWH_AWKKYbVN7BMoVWTBGwgxcKOILZEs3CRQv1I4qkOH-MLTgGpqii1UvNcw1dQLa2ELyQ2Mi4n_27phDbOruW5TDmbJ1K46iY7G8fId33GGw&sig=Cg0ArKJSzHnCzkpB0A4YEAE&fbs_aeid=%5Bgw_fbsaeid%5D&urlfix=1&adurl=https://www.rumah123.com/perumahan-baru/properti/jakarta-selatan/the-elements/nps1689/?utm_source=adunit-r123&utm_medium=native-ads-3-jawa-timur&utm_campaign=srp-secondary,Ada,Ada,Tidak,Tidak,Ada,Tidak,Ada,Ada,Tidak
"Kost Campur, Murah, Nyaman, di Siwalankerto Timurn",,Rp 12,https://www.rumah123.com/properti/surabaya-wonocolo/kost-campur-murah-nyaman-di-siwalankerto-timurn-ksr239632/,Ada,Ada,Ada,Ada,Ada,Ada,Ada,Tidak,Tidak
Kos Campur Sidoarjo Mall Pelayanan Publik Gudang Sirie Safelock,,Rp 12,https://www.rumah123.com/properti/surabaya-sidoarjo/koscampursidoarjo-dekat-mallpelayananpublikindustri-sirie-kantor-pentanahankawanlamasafe-nlockrsudsidoarjo-bernardi-ksr239484/,Tidak,Tidak,Tidak,Tidak,Ada,Tidak,Tidak,Tidak,Tidak
Kos Syariah Sharia Inn,,Rp 12,https://www.rumah123.com/properti/bojonegoro-bojonegoro/kos-syariah-sharia-inn-ksr33669/,Ada,Tidak,Ada,Tidak,Ada,Tidak,Tidak,Tidak,Tidak
Penginapan Kost-Kost ac,,Rp 12,https://www.rumah123.com/properti/bojonegoro-bojonegoro/penginapan-kostkost-ac-ksr33668/,Ada,Ada,Ada,Ada,Ada,Ada,Ada,Tidak,Tidak
