nama_kos,lokasi,harga,detail_url,Tempat Tidur,Lemari Pakaian,Meja,Kamar Mandi Dalam,AC,WiFi,Dapur,Area Parkir,Laundry Area
KOST PRIA PASURUAN MURAH (FREE WIFI & KM DALAM),"Purworejo, Pasuruan",Rp 525.000,https://www.sewakost.com/kost/jawa-timur/kost-pasuruan/kost-pria-pasuruan-murah-free-wifi-amp-km-dalam-201012/,Ada,Ada,Ada,Ada,Ada,Ada,Tidak,Ada,Tidak
KOST AAA,"Pungging, Mojokerto Kabupaten",Hubungi,https://www.sewakost.com/kost/jawa-timur/kost-mojokerto/kost-aaa-201011/,Tidak,Tidak,Ada,Ada,Ada,Ada,Ada,Ada,Tidak
Kost Putri Free WIFI +Fasilitas lengkap + KM dalam tengah kota pandaan,"Pandaan, Pasuruan Kabupaten",Rp 600.000,https://www.sewakost.com/kost/jawa-timur/kost-pasuruan/kost-putri-free-wifi-fasilitas-lengkap-km-dalam-tengah-kota-pandaan-200996/,Ada,Ada,Ada,Ada,Ada,Ada,Ada,Ada,Ada
"Kos Putri Bersih, Aman & Nyaman Full fasilitas di pandaan pasuruan","Pandaan, Pasuruan Kabupaten",Rp 600.000,https://www.sewakost.com/kost/jawa-timur/kost-pasuruan/kos-putri-bersih-aman-amp-nyaman-full-fasilitas-di-pandaan-pasuruan-200995/,Ada,Ada,Ada,Ada,Ada,Ada,Ada,Ada,Ada
Omah kos,"Kebomas, Gresik",Rp 650.000,https://www.sewakost.com/kost/jawa-timur/kost-gresik/omah-kos-200955/,Ada,Tidak,Ada,Ada,Ada,Ada,Ada,Ada,Tidak
"Kost Kostan & Kontrakan Pak Abu (Purwosari, Kab. Pasuruan)","Purwosari, Pasuruan Kabupaten",Rp 500.000,https://www.sewakost.com/kost/jawa-timur/kost-pasuruan/kost-kostan-amp-kontrakan-pak-abu-purwosari-kab-pasuruan-200939/,Ada,Tidak,Ada,Ada,Ada,Ada,Ada,Ada,Tidak
Dewi Kos,"Pesantren, Kediri",Rp 1.250.000,https://www.sewakost.com/kost/jawa-timur/kost-kediri/dewi-kos-200833/,Ada,Tidak,Ada,Ada,Ada,Ada,Ada,Ada,Tidak
Kost Mapan (PRIA),"Manyar, Gresik",Hubungi,https://www.sewakost.com/kost/jawa-timur/kost-gresik/kost-mapan-pria-200821/,Ada,Tidak,Ada,Ada,Ada,Ada,Ada,Ada,Tidak
HOMIE KOST,"Sumbersari, Jember",Rp 1.350.000,https://www.sewakost.com/kost/jawa-timur/kost-jember/homie-kost-200771/,Ada,Tidak,Ada,Ada,Ada,Ada,Ada,Ada,Tidak
Kost Sensei Tuban,"Tuban, Tuban",Rp 600.000,https://www.sewakost.com/kost/jawa-timur/kost-tuban/kost-sensei-tuban-200726/,Ada,Tidak,Ada,Ada,Ada,Ada,Ada,Ada,Tidak
